index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_258,474,0.0444343,-0.0535389,0.0701313,21.0619,-25.3774,33.2422,0.0640419,0.19997,0.12404,0
0_259,24,0.0689827,-0.161714,0.0584363,1.65559,-3.88113,1.40247,0.318138,0.262267,0.284149,0
0_260,1111,0.142315,-0.276261,0.0638982,158.111,-306.926,70.9909,0.212865,0.40268,0.215796,0
0_261,0,0,0,0,0,0,0,0,0,0,0
0_262,1237,0.109141,-0.335136,0.179011,135.008,-414.564,221.437,0.195583,0.352132,0.24215,1
0_263,2131,0.0544861,-0.117847,0.0599491,116.11,-251.133,127.751,0.144649,0.285079,0.169308,0
0_264,430,0.0871905,-0.0844884,0.0435101,37.4919,-36.33,18.7094,0.113192,0.264285,0.133987,0
0_265,282,0.0485291,-0.126836,0.0119801,13.6852,-35.7677,3.37839,0.269374,0.369851,0.264345,0
0_266,1478,0.0735539,-0.17728,0.104577,108.713,-262.02,154.565,0.14342,0.259839,0.188775,1
0_267,613,0.144963,-0.441831,0.169638,88.8621,-270.843,103.988,0.226826,0.447828,0.261127,1
0_268,34,-0.0763391,-0.0574347,0.0601259,-2.59553,-1.95278,2.04428,0.18605,0.302454,0.222618,0
0_269,1198,0.0618194,-0.194875,0.110613,74.0597,-233.461,132.514,0.131972,0.272479,0.189494,1
0_270,802,0.0677343,-0.105103,0.0339229,54.3229,-84.2928,27.2062,0.0838229,0.192966,0.0905213,0
0_271,0,0,0,0,0,0,0,0,0,0,0
0_272,911,0.152364,-0.18413,0.0750599,138.803,-167.743,68.3796,0.204609,0.297465,0.170661,0
0_273,1458,0.138661,-0.200478,0.0838156,202.168,-292.297,122.203,0.158876,0.24817,0.131553,0
0_274,918,0.115107,-0.266939,0.110754,105.668,-245.05,101.672,0.201774,0.338869,0.223975,0
