index,area,ave0,ave1,ave2,int0,int1,int2,std0,std1,std2,sort
0_276,550,-0.000842201,0.0139336,0,-0.463211,7.6635,0,0.0863851,0.027428,0,0
0_277,231,0.0142713,0.0164657,0,3.29667,3.80359,0,0.0766828,0.0255655,0,0
0_278,383,0.0164004,0.0165794,0,6.28135,6.3499,0,0.0810533,0.0283298,0,0
0_279,352,0.0370454,0.0271014,0,13.04,9.53968,0,0.100828,0.0366052,0,0
0_280,146,0.0147275,0.0137249,0,2.15021,2.00384,0,0.0841707,0.0296464,0,0
0_281,137,0.0288505,0.0165356,0,3.95252,2.26537,0,0.0744464,0.0237,0,0
0_282,403,0.0244757,0.0335927,0,9.86373,13.5378,0,0.0828453,0.0283411,0,0
0_283,139,-0.00514339,0.017487,0,-0.714932,2.4307,0,0.0701474,0.0230329,0,0
0_284,302,-0.00582196,0.0129351,0,-1.75823,3.90639,0,0.0846207,0.0273928,0,0
0_285,473,0.0115785,0.0252032,0,5.47661,11.9211,0,0.0836196,0.0301138,0,0
0_286,144,0.0246918,0.0165762,0,3.55562,2.38698,0,0.0839679,0.0252714,0,0
0_287,215,0.0243708,0.0181641,0,5.23971,3.90527,0,0.0782495,0.0260372,0,0
0_288,251,0.0185817,0.0312377,0,4.664,7.84067,0,0.0825594,0.0280417,0,0
0_289,513,0.00347693,0.0229934,0,1.78367,11.7956,0,0.0841705,0.0260809,0,0
0_290,0,0,0,0,0,0,0,0,0,0,0
0_291,151,0.030981,0.0205973,0,4.67813,3.11019,0,0.109189,0.0317192,0,0
0_292,85,0.0106207,0.0211765,0,0.90276,1.80001,0,0.0697891,0.0232284,0,0
0_293,593,0.0415746,0.0047604,0,24.6538,2.82292,0,0.195583,0.0521878,0,1
